age,job,marital,education,balance,housing,loan,day,month,campaign,pdays,previous,poutcome,result
39,services,single,secondary,1336,yes,no,16,6,1,-1,0,unknown,no
53,no_active_income,married,secondary,136,no,no,16,6,1,-1,0,unknown,no
43,admini_management,married,tertiary,0,no,no,16,6,1,-1,0,unknown,no
50,housemaid,married,primary,4,no,no,16,6,1,-1,0,unknown,no
35,admini_management,married,secondary,4698,yes,no,16,6,1,-1,0,unknown,no
47,admini_management,married,secondary,4307,no,no,16,6,1,-1,0,unknown,no
52,blue-collar,single,primary,1250,no,no,16,6,1,-1,0,unknown,no
44,blue-collar,married,secondary,0,no,no,16,6,1,-1,0,unknown,no
51,blue-collar,married,secondary,33,no,yes,16,6,3,-1,0,unknown,yes
57,blue-collar,single,secondary,145,no,yes,16,6,4,-1,0,unknown,no
52,blue-collar,married,secondary,167,no,no,16,6,1,-1,0,unknown,no
47,blue-collar,married,secondary,214,yes,no,16,6,3,-1,0,unknown,no
59,services,married,primary,31,no,no,16,6,3,-1,0,unknown,no
50,admini_management,married,tertiary,3191,no,no,16,6,2,-1,0,unknown,no
53,self-employed,single,tertiary,196,yes,no,16,6,7,-1,0,unknown,no
36,admini_management,married,secondary,1295,no,no,16,6,3,-1,0,unknown,no
39,blue-collar,married,primary,4608,yes,no,16,6,1,-1,0,unknown,no
41,blue-collar,married,secondary,-100,yes,no,16,6,21,-1,0,unknown,no
35,blue-collar,married,secondary,-281,yes,no,16,6,15,-1,0,unknown,no
50,self-employed,married,tertiary,2198,no,no,16,6,6,-1,0,unknown,no
41,self-employed,married,tertiary,373,no,no,16,6,3,-1,0,unknown,no
45,admini_management,married,tertiary,203,no,no,16,6,4,-1,0,unknown,no
38,admini_management,single,secondary,439,no,no,16,6,4,-1,0,unknown,no
42,admini_management,married,secondary,3165,yes,no,16,6,4,-1,0,unknown,no
53,blue-collar,married,secondary,1093,yes,yes,16,6,3,-1,0,unknown,no
46,blue-collar,married,secondary,536,yes,no,16,6,2,-1,0,unknown,yes
44,admini_management,married,secondary,1696,no,no,16,6,3,-1,0,unknown,no
35,blue-collar,single,tertiary,756,yes,no,16,6,14,-1,0,unknown,no
49,admini_management,married,tertiary,2005,no,no,16,6,4,-1,0,unknown,no
37,self-employed,married,tertiary,264,yes,yes,16,6,1,-1,0,unknown,no
47,blue-collar,married,secondary,4840,no,no,16,6,1,-1,0,unknown,no
55,housemaid,married,primary,3680,no,no,16,6,1,-1,0,unknown,no
53,self-employed,married,tertiary,2627,yes,yes,16,6,30,-1,0,unknown,no
55,admini_management,married,tertiary,0,no,no,16,6,2,-1,0,unknown,no
37,blue-collar,single,secondary,3764,no,no,16,6,1,-1,0,unknown,no
53,services,single,secondary,725,yes,no,16,6,4,-1,0,unknown,no
28,blue-collar,single,secondary,235,yes,no,16,6,46,-1,0,unknown,no
42,blue-collar,married,primary,1752,yes,no,16,6,21,-1,0,unknown,no
38,admini_management,single,tertiary,93,yes,yes,16,6,3,-1,0,unknown,no
38,admini_management,married,tertiary,7124,no,no,16,6,6,-1,0,unknown,no
37,admini_management,married,tertiary,2741,no,no,16,6,4,-1,0,unknown,no
47,blue-collar,married,primary,667,no,no,16,6,1,-1,0,unknown,no
38,admini_management,married,secondary,1116,yes,yes,16,6,2,-1,0,unknown,no
44,admini_management,married,tertiary,647,no,no,16,6,2,-1,0,unknown,no
51,admini_management,married,secondary,-192,no,no,16,6,3,-1,0,unknown,no
41,blue-collar,married,primary,389,yes,no,16,6,2,-1,0,unknown,no
36,admini_management,single,secondary,16,no,no,16,6,2,-1,0,unknown,no
41,admini_management,single,secondary,0,no,no,16,6,3,-1,0,unknown,no
39,blue-collar,married,primary,4166,no,no,16,6,3,-1,0,unknown,no
39,blue-collar,married,secondary,94,no,no,16,6,2,-1,0,unknown,no
39,blue-collar,single,tertiary,1832,no,no,16,6,2,-1,0,unknown,no
60,no_active_income,single,primary,470,no,no,16,6,2,-1,0,unknown,no
40,admini_management,married,tertiary,270,no,no,16,6,3,-1,0,unknown,no
51,blue-collar,married,primary,5050,no,yes,16,6,7,-1,0,unknown,no
49,self-employed,married,tertiary,388,yes,no,16,6,2,-1,0,unknown,no
37,admini_management,married,tertiary,0,no,no,16,6,6,-1,0,unknown,yes
56,self-employed,married,secondary,535,yes,yes,16,6,4,-1,0,unknown,no
54,no_active_income,married,primary,1156,no,no,16,6,2,-1,0,unknown,no
45,housemaid,married,primary,938,no,no,16,6,3,-1,0,unknown,no
39,housemaid,married,tertiary,240,yes,no,16,6,25,-1,0,unknown,no
36,self-employed,married,tertiary,3057,no,no,16,6,4,-1,0,unknown,yes
39,admini_management,married,tertiary,-1212,yes,no,16,6,18,-1,0,unknown,no
33,self-employed,married,tertiary,6,no,no,16,6,6,-1,0,unknown,no
42,blue-collar,single,tertiary,671,yes,no,16,6,20,-1,0,unknown,no
58,no_active_income,single,primary,278,no,no,16,6,5,-1,0,unknown,no
36,blue-collar,single,primary,736,yes,no,16,6,2,-1,0,unknown,no
41,self-employed,married,primary,0,no,no,16,6,2,-1,0,unknown,no
51,housemaid,married,primary,108,no,no,16,6,2,-1,0,unknown,no
55,blue-collar,married,primary,835,yes,no,16,6,18,-1,0,unknown,no
48,blue-collar,single,primary,1080,yes,no,16,6,3,-1,0,unknown,no
36,blue-collar,married,tertiary,579,yes,no,16,6,3,-1,0,unknown,no
42,admini_management,married,secondary,2580,yes,no,16,6,3,-1,0,unknown,no
40,admini_management,married,secondary,0,no,no,16,6,12,-1,0,unknown,no
39,admini_management,married,secondary,2445,no,no,16,6,5,-1,0,unknown,no
54,blue-collar,married,tertiary,417,yes,no,16,6,2,-1,0,unknown,no
45,admini_management,married,tertiary,1847,no,no,16,6,5,-1,0,unknown,no
57,admini_management,single,primary,987,no,no,16,6,2,-1,0,unknown,no
58,admini_management,single,primary,5914,no,no,17,6,4,-1,0,unknown,no
38,self-employed,married,secondary,-272,no,yes,17,6,2,-1,0,unknown,no
36,blue-collar,single,tertiary,0,no,no,17,6,4,-1,0,unknown,no
51,admini_management,married,secondary,2967,no,no,17,6,2,-1,0,unknown,no
46,admini_management,single,primary,538,no,no,17,6,3,-1,0,unknown,no
31,blue-collar,married,secondary,-720,yes,no,17,6,16,-1,0,unknown,no
30,self-employed,single,secondary,92,yes,no,17,6,10,-1,0,unknown,no
58,admini_management,married,primary,1136,no,no,17,6,3,-1,0,unknown,no
36,admini_management,married,tertiary,0,no,no,17,6,3,-1,0,unknown,no
35,self-employed,married,tertiary,333,no,no,17,6,5,-1,0,unknown,no
37,services,single,secondary,105,no,yes,17,6,4,-1,0,unknown,no
49,blue-collar,married,secondary,-55,no,no,17,6,3,-1,0,unknown,no
38,blue-collar,married,primary,1262,no,no,17,6,2,-1,0,unknown,no
30,self-employed,married,secondary,421,yes,yes,17,6,4,-1,0,unknown,no
34,admini_management,married,primary,2026,yes,no,17,6,8,-1,0,unknown,no
55,blue-collar,married,primary,2896,no,no,17,6,3,-1,0,unknown,no
56,blue-collar,married,primary,1046,no,yes,17,6,13,-1,0,unknown,no
44,admini_management,married,tertiary,3091,yes,no,17,6,4,-1,0,unknown,no
37,housemaid,single,primary,1088,no,no,17,6,2,-1,0,unknown,no
45,blue-collar,married,primary,866,no,no,17,6,8,-1,0,unknown,no
58,self-employed,married,secondary,372,no,no,17,6,2,-1,0,unknown,no
38,blue-collar,married,secondary,403,yes,yes,17,6,8,-1,0,unknown,no
35,admini_management,single,tertiary,1374,no,no,17,6,2,-1,0,unknown,no
38,services,married,secondary,1313,no,no,17,6,2,-1,0,unknown,no
49,self-employed,married,secondary,27,no,no,17,6,6,-1,0,unknown,no
50,admini_management,married,tertiary,0,no,no,17,6,3,-1,0,unknown,no
39,blue-collar,married,primary,2169,no,no,17,6,2,-1,0,unknown,no
45,housemaid,married,secondary,698,yes,no,17,6,4,-1,0,unknown,no
48,blue-collar,married,primary,0,no,no,17,6,2,-1,0,unknown,no
55,no_active_income,married,secondary,466,no,no,17,6,4,-1,0,unknown,no
37,services,single,tertiary,718,no,no,17,6,1,-1,0,unknown,no
55,blue-collar,married,primary,1498,no,yes,17,6,2,-1,0,unknown,no
39,admini_management,single,tertiary,2600,yes,no,17,6,1,-1,0,unknown,no
50,no_active_income,married,primary,1098,no,no,17,6,1,-1,0,unknown,no
59,no_active_income,married,primary,0,no,no,17,6,1,-1,0,unknown,no
39,blue-collar,married,secondary,123,no,no,17,6,1,-1,0,unknown,no
50,no_active_income,married,secondary,0,yes,yes,17,6,3,-1,0,unknown,no
38,blue-collar,single,tertiary,2496,no,no,17,6,1,-1,0,unknown,no
43,housemaid,single,primary,103,no,no,17,6,1,-1,0,unknown,no
35,services,single,secondary,361,no,no,17,6,1,-1,0,unknown,no
41,blue-collar,married,secondary,1385,no,no,17,6,1,-1,0,unknown,no
41,admini_management,married,tertiary,676,no,no,17,6,1,-1,0,unknown,no
37,blue-collar,married,secondary,426,no,no,17,6,1,-1,0,unknown,no
41,blue-collar,married,secondary,130,no,no,17,6,3,-1,0,unknown,no
60,admini_management,married,primary,0,no,no,17,6,1,-1,0,unknown,no
48,admini_management,single,secondary,-58,no,no,17,6,1,-1,0,unknown,no
55,blue-collar,married,tertiary,2512,yes,no,17,6,1,-1,0,unknown,no
61,no_active_income,married,secondary,296,no,no,17,6,1,-1,0,unknown,no
49,admini_management,married,tertiary,391,no,no,17,6,1,-1,0,unknown,no
39,blue-collar,married,primary,1564,no,no,17,6,1,-1,0,unknown,no
48,blue-collar,married,primary,1670,no,no,17,6,1,-1,0,unknown,no
42,self-employed,married,tertiary,1654,no,no,17,6,1,-1,0,unknown,no
37,blue-collar,single,secondary,984,no,no,17,6,1,-1,0,unknown,no
47,no_active_income,married,secondary,3287,yes,yes,17,6,1,-1,0,unknown,no
50,admini_management,married,secondary,-437,yes,yes,17,6,1,-1,0,unknown,no
49,services,married,secondary,494,no,no,17,6,4,-1,0,unknown,no
41,admini_management,married,tertiary,1234,no,no,17,6,1,-1,0,unknown,no
48,admini_management,single,primary,1078,no,no,17,6,1,-1,0,unknown,no
35,blue-collar,married,secondary,402,no,yes,17,6,1,-1,0,unknown,no
55,admini_management,single,tertiary,854,yes,yes,17,6,4,-1,0,unknown,no
43,admini_management,married,tertiary,438,no,no,17,6,2,-1,0,unknown,no
53,no_active_income,married,secondary,1296,yes,no,17,6,1,-1,0,unknown,no
39,admini_management,married,secondary,1891,no,no,17,6,1,-1,0,unknown,no
57,no_active_income,married,primary,7938,no,no,17,6,1,-1,0,unknown,no
34,blue-collar,single,primary,2040,no,no,17,6,4,-1,0,unknown,no
52,self-employed,married,primary,2138,no,no,17,6,1,-1,0,unknown,no
60,blue-collar,married,primary,686,yes,no,17,6,2,-1,0,unknown,no
57,no_active_income,married,primary,5799,no,no,17,6,1,-1,0,unknown,no
36,admini_management,single,secondary,810,yes,no,17,6,1,-1,0,unknown,no
42,self-employed,married,tertiary,1068,yes,no,17,6,8,-1,0,unknown,no
37,services,single,secondary,3,no,no,17,6,1,-1,0,unknown,no
55,housemaid,single,primary,2014,no,no,17,6,2,-1,0,unknown,no
36,self-employed,single,secondary,652,no,no,17,6,1,-1,0,unknown,no
50,blue-collar,married,primary,2190,no,no,17,6,1,-1,0,unknown,no
45,no_active_income,single,secondary,1735,no,yes,17,6,1,-1,0,unknown,no
47,admini_management,married,secondary,2892,no,no,17,6,1,-1,0,unknown,yes
43,admini_management,married,tertiary,439,no,no,17,6,1,-1,0,unknown,no
39,self-employed,married,secondary,4722,yes,no,17,6,1,-1,0,unknown,no
45,admini_management,single,tertiary,451,no,no,17,6,1,-1,0,unknown,no
59,no_active_income,single,primary,2516,no,no,17,6,1,-1,0,unknown,no
46,housemaid,single,primary,2291,no,no,17,6,1,-1,0,unknown,no
48,admini_management,married,tertiary,2837,no,no,17,6,1,-1,0,unknown,no
59,housemaid,single,secondary,0,no,no,17,6,1,-1,0,unknown,no
36,blue-collar,married,secondary,7265,no,no,17,6,1,-1,0,unknown,no
44,blue-collar,married,primary,-82,no,yes,17,6,1,-1,0,unknown,no
45,blue-collar,married,primary,4696,no,no,17,6,1,-1,0,unknown,no
41,blue-collar,married,secondary,475,yes,no,17,6,3,-1,0,unknown,no
48,blue-collar,married,secondary,335,no,no,17,6,3,-1,0,unknown,no
60,no_active_income,single,tertiary,568,no,no,17,6,1,-1,0,unknown,no
38,services,married,primary,175,no,no,17,6,2,-1,0,unknown,no
57,housemaid,married,primary,1870,no,no,17,6,1,-1,0,unknown,no
44,housemaid,married,tertiary,460,no,no,17,6,1,-1,0,unknown,no
55,admini_management,married,primary,1446,no,no,17,6,1,-1,0,unknown,no
46,housemaid,married,primary,17,no,no,17,6,1,-1,0,unknown,no
55,blue-collar,married,primary,0,no,no,17,6,1,-1,0,unknown,no
47,blue-collar,married,primary,145,no,no,17,6,1,-1,0,unknown,no
38,blue-collar,married,primary,6091,no,no,17,6,1,-1,0,unknown,no
38,services,married,secondary,250,no,no,17,6,1,-1,0,unknown,no
42,self-employed,single,tertiary,231,no,no,17,6,1,-1,0,unknown,no
45,blue-collar,married,secondary,530,no,yes,17,6,1,-1,0,unknown,no
39,self-employed,single,tertiary,1415,no,no,17,6,1,-1,0,unknown,no
46,admini_management,married,secondary,5559,no,no,17,6,1,-1,0,unknown,no
36,blue-collar,married,primary,214,no,no,17,6,1,-1,0,unknown,no
53,housemaid,single,primary,1238,no,no,17,6,3,-1,0,unknown,no
38,admini_management,married,secondary,505,yes,yes,17,6,2,-1,0,unknown,no
55,no_active_income,single,primary,925,no,no,17,6,1,-1,0,unknown,no
47,blue-collar,single,secondary,431,no,yes,17,6,9,-1,0,unknown,no
53,housemaid,married,secondary,1060,no,no,17,6,4,-1,0,unknown,no
56,no_active_income,single,secondary,4,no,no,17,6,1,-1,0,unknown,no
37,self-employed,single,tertiary,1116,no,no,17,6,1,-1,0,unknown,no
39,blue-collar,single,secondary,2910,yes,no,17,6,5,-1,0,unknown,no
58,blue-collar,married,primary,73,no,no,17,6,1,-1,0,unknown,no
56,blue-collar,married,primary,0,no,no,17,6,2,-1,0,unknown,no
51,housemaid,single,primary,336,no,no,17,6,1,-1,0,unknown,no
37,blue-collar,single,secondary,5818,no,no,17,6,2,-1,0,unknown,no
58,blue-collar,married,secondary,592,no,no,17,6,1,-1,0,unknown,no
59,blue-collar,married,secondary,4322,no,no,17,6,1,-1,0,unknown,no
40,blue-collar,single,tertiary,0,no,no,17,6,1,-1,0,unknown,yes
51,blue-collar,married,primary,1869,no,no,17,6,3,-1,0,unknown,no
50,admini_management,single,primary,766,no,no,17,6,2,-1,0,unknown,no
38,blue-collar,married,secondary,5092,yes,no,17,6,6,-1,0,unknown,no
55,blue-collar,married,primary,11,no,no,17,6,2,-1,0,unknown,no
48,admini_management,single,tertiary,4961,yes,no,17,6,1,-1,0,unknown,no
38,blue-collar,married,primary,246,no,no,17,6,2,-1,0,unknown,no
40,admini_management,married,primary,0,yes,no,17,6,1,-1,0,unknown,no
40,admini_management,married,secondary,35,no,no,17,6,1,-1,0,unknown,no
58,blue-collar,married,secondary,544,no,no,17,6,1,-1,0,unknown,no
39,admini_management,married,tertiary,2043,yes,no,17,6,1,-1,0,unknown,no
39,admini_management,married,tertiary,1191,no,no,17,6,1,-1,0,unknown,no
43,self-employed,single,tertiary,1756,no,no,17,6,1,-1,0,unknown,no
38,blue-collar,married,secondary,702,no,no,17,6,2,-1,0,unknown,no
36,blue-collar,single,primary,2491,no,yes,17,6,2,-1,0,unknown,no
58,no_active_income,single,secondary,0,no,no,17,6,5,-1,0,unknown,no
53,blue-collar,married,secondary,1653,no,no,17,6,2,-1,0,unknown,no
35,blue-collar,single,secondary,507,no,no,17,6,6,-1,0,unknown,no
42,blue-collar,married,secondary,193,yes,no,17,6,1,-1,0,unknown,no
52,services,married,secondary,517,yes,no,17,6,1,-1,0,unknown,no
40,self-employed,married,secondary,780,yes,no,17,6,1,-1,0,unknown,no
46,blue-collar,married,secondary,1270,yes,no,17,6,1,-1,0,unknown,no
51,blue-collar,married,primary,48,no,yes,17,6,1,-1,0,unknown,no
48,blue-collar,married,secondary,1562,no,no,17,6,2,-1,0,unknown,no
39,blue-collar,married,secondary,679,yes,no,17,6,1,-1,0,unknown,no
44,admini_management,single,tertiary,1467,no,no,17,6,1,-1,0,unknown,no
44,blue-collar,married,secondary,1678,yes,no,17,6,1,-1,0,unknown,no
37,housemaid,married,secondary,942,no,no,17,6,1,-1,0,unknown,no
45,blue-collar,married,secondary,521,yes,no,17,6,3,-1,0,unknown,no
44,admini_management,married,primary,2276,yes,no,17,6,1,-1,0,unknown,no
35,blue-collar,single,tertiary,5251,yes,no,17,6,15,-1,0,unknown,no
53,blue-collar,single,secondary,305,no,yes,17,6,1,-1,0,unknown,no
45,housemaid,married,primary,3,yes,yes,17,6,1,-1,0,unknown,no
35,admini_management,married,secondary,76,no,yes,17,6,1,-1,0,unknown,no
37,housemaid,single,primary,608,no,no,17,6,1,-1,0,unknown,no
36,admini_management,married,tertiary,531,yes,no,17,6,2,-1,0,unknown,no
39,blue-collar,single,primary,1522,no,no,17,6,4,-1,0,unknown,no
55,self-employed,married,secondary,39,no,no,17,6,1,-1,0,unknown,no
38,blue-collar,single,secondary,2641,no,no,17,6,1,-1,0,unknown,no
35,blue-collar,married,secondary,1255,no,no,17,6,2,-1,0,unknown,no
37,blue-collar,married,secondary,647,yes,no,17,6,1,-1,0,unknown,no
36,admini_management,married,secondary,1989,no,no,17,6,2,-1,0,unknown,no
51,blue-collar,single,primary,886,no,no,17,6,1,-1,0,unknown,no
38,blue-collar,single,tertiary,18,no,no,17,6,5,-1,0,unknown,no
36,admini_management,single,tertiary,1568,no,no,17,6,2,-1,0,unknown,no
51,housemaid,married,primary,1382,no,no,17,6,1,-1,0,unknown,no
43,blue-collar,married,primary,103,yes,no,17,6,2,-1,0,unknown,no
48,admini_management,single,tertiary,1437,yes,yes,17,6,2,-1,0,unknown,no
45,housemaid,married,primary,0,no,yes,17,6,1,-1,0,unknown,no
46,services,married,secondary,0,no,no,17,6,5,-1,0,unknown,no
60,housemaid,married,primary,352,no,yes,17,6,2,-1,0,unknown,no
56,admini_management,single,secondary,278,yes,no,17,6,1,-1,0,unknown,no
42,self-employed,married,tertiary,753,no,no,17,6,1,-1,0,unknown,no
40,blue-collar,married,primary,-158,yes,yes,17,6,1,-1,0,unknown,no
43,self-employed,married,secondary,104,no,no,17,6,1,-1,0,unknown,no
39,admini_management,single,secondary,1103,no,no,17,6,1,-1,0,unknown,no
58,self-employed,married,primary,671,yes,no,17,6,3,-1,0,unknown,no
38,no_active_income,single,secondary,258,no,no,17,6,2,-1,0,unknown,no
53,blue-collar,married,primary,1100,yes,no,17,6,2,-1,0,unknown,no
46,blue-collar,married,secondary,7,no,no,17,6,2,-1,0,unknown,no
54,no_active_income,single,secondary,515,yes,no,17,6,1,-1,0,unknown,no
44,blue-collar,married,primary,711,no,no,17,6,1,-1,0,unknown,no
48,services,married,secondary,7434,no,no,17,6,1,-1,0,unknown,no
40,self-employed,married,tertiary,1603,no,no,17,6,1,-1,0,unknown,no
33,self-employed,single,secondary,969,yes,no,17,6,2,-1,0,unknown,no
36,admini_management,single,secondary,787,no,no,17,6,1,-1,0,unknown,no
49,no_active_income,single,primary,150,no,no,17,6,1,-1,0,unknown,no
32,services,single,secondary,914,yes,no,17,6,2,-1,0,unknown,no
40,admini_management,married,secondary,752,no,yes,17,6,1,-1,0,unknown,no
36,blue-collar,single,primary,553,no,no,17,6,4,-1,0,unknown,no
37,self-employed,single,secondary,926,no,no,17,6,2,-1,0,unknown,no
50,admini_management,married,tertiary,557,yes,no,17,6,4,-1,0,unknown,no
50,housemaid,married,tertiary,6181,no,no,17,6,2,-1,0,unknown,no
56,admini_management,single,tertiary,4266,yes,no,17,6,4,-1,0,unknown,yes
38,blue-collar,single,tertiary,110,no,no,17,6,3,-1,0,unknown,yes
59,admini_management,single,tertiary,0,no,no,17,6,2,-1,0,unknown,no
52,housemaid,single,secondary,334,yes,no,17,6,9,-1,0,unknown,no
59,no_active_income,married,secondary,3,no,no,17,6,2,-1,0,unknown,no
44,housemaid,married,primary,3706,no,no,17,6,3,-1,0,unknown,no
55,self-employed,married,secondary,5838,no,no,17,6,2,-1,0,unknown,no
37,no_active_income,married,secondary,830,no,no,17,6,3,-1,0,unknown,no
40,blue-collar,married,primary,-616,yes,no,17,6,2,-1,0,unknown,no
44,blue-collar,single,secondary,268,no,no,17,6,6,-1,0,unknown,no
59,no_active_income,married,secondary,2703,no,yes,17,6,2,-1,0,unknown,no
38,student,single,tertiary,3316,no,no,17,6,3,-1,0,unknown,yes
41,blue-collar,married,primary,402,no,no,17,6,17,-1,0,unknown,no
50,blue-collar,single,primary,608,yes,no,17,6,4,-1,0,unknown,no
46,self-employed,married,tertiary,120,no,no,17,6,4,-1,0,unknown,no
41,services,married,secondary,1483,yes,no,17,6,4,-1,0,unknown,no
57,self-employed,married,secondary,926,no,no,17,6,3,-1,0,unknown,no
57,services,married,secondary,2745,yes,no,17,6,2,-1,0,unknown,no
35,self-employed,single,tertiary,-49,no,no,17,6,8,-1,0,unknown,no
55,services,married,secondary,752,no,no,17,6,2,-1,0,unknown,no
36,services,single,secondary,99,no,no,17,6,9,-1,0,unknown,no
40,admini_management,married,secondary,106,no,no,17,6,2,-1,0,unknown,yes
36,blue-collar,married,tertiary,404,no,no,17,6,2,-1,0,unknown,no
39,blue-collar,married,secondary,2239,no,no,17,6,2,-1,0,unknown,no
37,admini_management,married,tertiary,1170,no,yes,17,6,3,-1,0,unknown,no
31,services,married,secondary,440,yes,no,17,6,3,-1,0,unknown,no
40,blue-collar,married,secondary,1318,yes,no,17,6,2,-1,0,unknown,no
36,self-employed,single,secondary,251,no,no,17,6,6,-1,0,unknown,no
39,self-employed,married,secondary,1317,no,no,17,6,4,-1,0,unknown,no
36,self-employed,married,tertiary,4515,yes,no,17,6,2,-1,0,unknown,no
49,admini_management,married,secondary,652,no,yes,17,6,2,-1,0,unknown,no
48,admini_management,married,secondary,306,no,yes,17,6,2,-1,0,unknown,no
48,admini_management,single,secondary,720,yes,no,17,6,2,-1,0,unknown,no
40,housemaid,married,primary,322,no,no,17,6,2,-1,0,unknown,no
48,admini_management,married,tertiary,6613,no,no,17,6,3,-1,0,unknown,no
39,blue-collar,married,primary,2303,yes,no,17,6,3,-1,0,unknown,yes
44,blue-collar,single,primary,99,no,no,17,6,7,-1,0,unknown,no
34,blue-collar,single,secondary,-269,yes,no,17,6,3,-1,0,unknown,no
60,admini_management,married,tertiary,3301,no,no,17,6,3,-1,0,unknown,yes
53,blue-collar,single,primary,354,yes,no,17,6,2,-1,0,unknown,no
37,self-employed,single,tertiary,556,no,no,17,6,2,-1,0,unknown,no
32,services,single,secondary,1364,yes,yes,17,6,5,-1,0,unknown,no
49,no_active_income,married,secondary,4110,no,no,17,6,2,-1,0,unknown,no
56,blue-collar,married,secondary,2409,no,no,17,6,2,-1,0,unknown,no
47,admini_management,married,secondary,726,no,no,17,6,3,-1,0,unknown,no
48,blue-collar,married,secondary,178,yes,no,17,6,4,-1,0,unknown,no
38,blue-collar,married,primary,265,no,no,17,6,3,-1,0,unknown,no
36,housemaid,married,primary,758,no,no,17,6,2,-1,0,unknown,no
43,housemaid,single,primary,1354,no,no,17,6,2,-1,0,unknown,no
55,admini_management,single,secondary,0,no,no,17,6,2,-1,0,unknown,no
39,blue-collar,married,secondary,-184,no,yes,17,6,3,-1,0,unknown,no
59,services,married,primary,124,no,no,17,6,2,-1,0,unknown,no
56,no_active_income,married,primary,1126,no,no,17,6,3,-1,0,unknown,no
37,services,single,secondary,9,yes,yes,17,6,6,-1,0,unknown,no
51,blue-collar,married,tertiary,1911,yes,yes,17,6,3,-1,0,unknown,no
51,self-employed,single,tertiary,5244,no,no,17,6,2,-1,0,unknown,no
54,no_active_income,married,secondary,1614,yes,no,17,6,4,-1,0,unknown,no
52,services,married,tertiary,2801,yes,yes,17,6,2,-1,0,unknown,no
38,no_active_income,married,secondary,926,no,no,17,6,5,-1,0,unknown,no
54,blue-collar,single,secondary,770,no,no,17,6,2,-1,0,unknown,no
58,blue-collar,married,primary,5279,yes,no,17,6,6,-1,0,unknown,no
55,self-employed,single,secondary,148,no,no,17,6,3,-1,0,unknown,no
28,blue-collar,married,primary,0,yes,yes,17,6,27,-1,0,unknown,no
46,services,married,primary,741,no,no,17,6,3,-1,0,unknown,no
49,blue-collar,married,secondary,788,no,no,17,6,7,-1,0,unknown,no
50,admini_management,married,primary,276,no,yes,17,6,6,-1,0,unknown,no
38,services,single,secondary,-10,yes,no,17,6,2,-1,0,unknown,no
37,admini_management,single,tertiary,-25,no,no,17,6,2,-1,0,unknown,no
57,housemaid,married,primary,0,no,no,17,6,2,-1,0,unknown,no
43,admini_management,married,secondary,392,no,no,17,6,5,-1,0,unknown,no
39,self-employed,married,secondary,156,no,yes,17,6,2,-1,0,unknown,no
37,admini_management,single,secondary,-302,no,no,17,6,3,-1,0,unknown,no
38,admini_management,single,secondary,156,yes,no,17,6,3,-1,0,unknown,no
36,blue-collar,single,tertiary,3649,yes,no,17,6,2,-1,0,unknown,no
50,services,married,secondary,1321,no,no,17,6,2,-1,0,unknown,no
53,no_active_income,married,primary,232,yes,yes,17,6,2,-1,0,unknown,no
50,admini_management,single,tertiary,267,no,no,17,6,2,-1,0,unknown,no
46,blue-collar,single,primary,358,no,no,17,6,2,-1,0,unknown,no
36,admini_management,single,tertiary,171,no,no,17,6,4,-1,0,unknown,no
55,admini_management,married,tertiary,913,no,no,17,6,5,-1,0,unknown,no
58,housemaid,married,primary,3957,no,no,17,6,4,-1,0,unknown,no
39,blue-collar,married,primary,1551,no,no,17,6,16,-1,0,unknown,no
38,self-employed,married,secondary,197,no,no,17,6,9,-1,0,unknown,no
43,housemaid,married,secondary,618,no,no,17,6,4,-1,0,unknown,no
39,blue-collar,married,primary,-119,no,no,17,6,6,-1,0,unknown,no
52,blue-collar,married,secondary,1490,no,yes,17,6,4,-1,0,unknown,no
56,blue-collar,married,primary,288,no,no,17,6,3,-1,0,unknown,no
36,blue-collar,married,secondary,1409,no,no,17,6,2,-1,0,unknown,no
52,blue-collar,married,secondary,851,no,no,17,6,2,-1,0,unknown,no
43,blue-collar,married,secondary,236,no,no,17,6,4,-1,0,unknown,no
53,housemaid,single,secondary,120,no,no,17,6,2,-1,0,unknown,no
50,services,single,tertiary,580,no,no,17,6,2,-1,0,unknown,no
25,blue-collar,single,secondary,1116,no,yes,17,6,6,-1,0,unknown,no
36,services,single,secondary,398,yes,yes,17,6,2,-1,0,unknown,no
35,blue-collar,married,secondary,331,yes,no,17,6,3,-1,0,unknown,no
51,blue-collar,married,primary,3942,yes,no,17,6,3,-1,0,unknown,no
38,blue-collar,married,primary,7944,no,no,17,6,3,-1,0,unknown,no
54,services,married,secondary,468,no,no,17,6,3,-1,0,unknown,no
45,admini_management,married,tertiary,3329,no,no,17,6,2,-1,0,unknown,no
36,blue-collar,married,secondary,0,no,yes,17,6,5,-1,0,unknown,no
36,services,married,secondary,1981,no,no,17,6,2,-1,0,unknown,no
26,admini_management,single,primary,71,no,no,17,6,2,-1,0,unknown,no
51,self-employed,married,primary,307,yes,yes,17,6,2,-1,0,unknown,no
52,admini_management,married,tertiary,502,no,no,17,6,3,-1,0,unknown,no
46,admini_management,single,tertiary,25,no,no,17,6,2,-1,0,unknown,no
58,housemaid,single,primary,57,no,no,17,6,3,-1,0,unknown,no
27,blue-collar,single,secondary,370,yes,no,17,6,21,-1,0,unknown,no
57,blue-collar,married,primary,4073,no,no,17,6,3,-1,0,unknown,no
42,blue-collar,married,primary,46,yes,no,17,6,6,-1,0,unknown,no
29,admini_management,single,secondary,-95,yes,no,17,6,3,-1,0,unknown,no
